,Country Name,Country Code,Indicator Name,Indicator Code,1962,1967,1972,1977,1982,1987,1992,1997,2002,2007,2012,2017
66,Euro area,EMU,Net migration,SM.POP.NETM,808797.0,148964.0,2037462.0,1608797.0,731227.0,2221744.0,4087715.0,2351361.0,7296329.0,4188448.0,3610240.0,4446572.0
67,Eritrea,ERI,Net migration,SM.POP.NETM,6997.0,4999.0,10000.0,10000.0,10000.0,-40000.0,-314772.0,-129998.0,227290.0,-80009.0,-246000.0,-199290.0
68,Spain,ESP,Net migration,SM.POP.NETM,-193807.0,-145936.0,96990.0,76903.0,-43292.0,-67680.0,319270.0,931072.0,2908209.0,2273848.0,-520442.0,200000.0
69,Estonia,EST,Net migration,SM.POP.NETM,43228.0,41204.0,30581.0,30510.0,25900.0,15497.0,-111876.0,-1197.0,-18406.0,-15151.0,-10516.0,19555.0
70,Ethiopia,ETH,Net migration,SM.POP.NETM,-19999.0,-42182.0,-59597.0,-2112372.0,248546.0,765993.0,1457943.0,-155577.0,-150001.0,-50132.0,399997.0,150002.0
71,European Union,EUU,Net migration,SM.POP.NETM,873990.0,35679.0,1830393.0,1452547.0,314429.0,1640298.0,3259577.0,1621033.0,6853594.0,3767581.0,3377263.0,4281648.0
72,Fragile and conflict affected situations,FCS,Net migration,SM.POP.NETM,-403734.0,-828283.0,-1224205.0,4915.0,-6325349.0,-6220616.0,1933706.0,-4376293.0,-2415321.0,-5313288.0,-7098642.0,-10049206.0
73,Finland,FIN,Net migration,SM.POP.NETM,-64984.0,-97937.0,28880.0,-29377.0,26181.0,18268.0,47223.0,22154.0,31935.0,57558.0,81416.0,70000.0
74,Fiji,FJI,Net migration,SM.POP.NETM,-3455.0,-14279.0,-15145.0,-22230.0,-12677.0,-66996.0,-33803.0,-38692.0,-58598.0,-23691.0,-51950.0,-31008.0
75,France,FRA,Net migration,SM.POP.NETM,1417869.0,491613.0,543072.0,258429.0,291570.0,276383.0,122170.0,193631.0,926483.0,446120.0,423831.0,182636.0
76,Faroe Islands,FRO,Net migration,SM.POP.NETM,,,,,,,,,,,,
77,"Micronesia, Fed. Sts.",FSM,Net migration,SM.POP.NETM,454.0,429.0,-7534.0,120.0,445.0,-1902.0,-1662.0,-12788.0,-12284.0,-12278.0,-2999.0,-2999.0
78,Gabon,GAB,Net migration,SM.POP.NETM,9410.0,16188.0,2999.0,4999.0,4999.0,4999.0,4999.0,9566.0,24820.0,63698.0,100317.0,16301.0
79,United Kingdom,GBR,Net migration,SM.POP.NETM,143068.0,-84853.0,106415.0,39119.0,-97495.0,98758.0,205443.0,513361.0,992223.0,2189404.0,1300231.0,1303250.0
